"","GoogleInput","GEOID","NAME","Population","moe","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","DrivingTime","BikingTime","TransitTime"
"18","34.1622174+-119.1908964","06111004200","Census Tract 42, Ventura County, California",5603,581,0.509,0,34.1622174,-119.1908964,2299,12726,13024
"19","34.1642972+-119.1565272","06111004710","Census Tract 47.10, Ventura County, California",4761,547,0.658,0,34.1642972,-119.1565272,2259,13280,13926
"20","34.1645968+-118.9733844","06111005801","Census Tract 58.01, Ventura County, California",5339,260,1.846,0,34.1645968,-118.9733844,2831,17651,12136
"21","34.1665091+-118.9266027","06111005910","Census Tract 59.10, Ventura County, California",1755,126,1.746,0,34.1665091,-118.9266027,2680,19528,11113
"22","34.1672429+-119.0440587","06111005700","Census Tract 57, Ventura County, California",3494,463,1.586,0,34.1672429,-119.0440587,2404,15781,6346
"23","34.1674563+-119.1721776","06111004000","Census Tract 40, Ventura County, California",6995,747,0.487,0,34.1674563,-119.1721776,2362,12957,13031
"24","34.1676376+-119.1819133","06111004101","Census Tract 41.01, Ventura County, California",7083,604,0.433,0,34.1676376,-119.1819133,2342,12795,12969
"25","34.1679536+-119.163289","06111004711","Census Tract 47.11, Ventura County, California",3589,381,0.311,0,34.1679536,-119.163289,2266,13069,14046
"26","34.1687001+-118.9463969","06111005901","Census Tract 59.01, Ventura County, California",7059,365,1.506,0,34.1687001,-118.9463969,2604,18299,11016
"27","34.16971+-118.8900636","06111005911","Census Tract 59.11, Ventura County, California",3817,367,2.837,0,34.16971,-118.8900636,2884,20172,NA
"28","34.1712698+-119.1186906","06111004704","Census Tract 47.04, Ventura County, California",1557,145,7.565,0,34.1712698,-119.1186906,2146,13959,NA
"29","34.1719898+-119.1486074","06111004717","Census Tract 47.17, Ventura County, California",4360,507,0.388,0,34.1719898,-119.1486074,2073,13332,14111
"30","34.1720565+-119.1898332","06111008900","Census Tract 89, Ventura County, California",3395,404,0.231,0,34.1720565,-119.1898332,2251,12568,13133
"31","34.1744737+-118.7737939","06111007403","Census Tract 74.03, Ventura County, California",6114,415,1.432,0,34.1744737,-118.7737939,3199,21923,NA
"32","34.1750912+-118.8455232","06111007100","Census Tract 71, Ventura County, California",6124,497,0.934,0,34.1750912,-118.8455232,2714,20166,9328
"33","34.1781865+-119.1816278","06111003802","Census Tract 38.02, Ventura County, California",2796,309,0.273,0,34.1781865,-119.1816278,2222,12682,12394
"34","34.1783566+-118.9730535","06111005802","Census Tract 58.02, Ventura County, California",9667,459,2.977,0,34.1783566,-118.9730535,2894,18081,12610
"35","34.1784074+-119.2083822","06111004304","Census Tract 43.04, Ventura County, California",6776,632,0.557,0,34.1784074,-119.2083822,2005,12194,14100
"36","34.178902+-119.1708226","06111003900","Census Tract 39, Ventura County, California",7374,789,0.658,0,34.178902,-119.1708226,2280,12910,13098
"37","34.1791943+-118.9225568","06111005908","Census Tract 59.08, Ventura County, California",2830,311,0.713,0,34.1791943,-118.9225568,2517,19144,9779
"38","34.1808226+-118.9022659","06111005909","Census Tract 59.09, Ventura County, California",3644,267,0.516,0,34.1808226,-118.9022659,2560,19368,10129
"39","34.1816823+-118.8679497","06111007000","Census Tract 70, Ventura County, California",3980,361,0.587,0,34.1816823,-118.8679497,2729,19876,9660
"40","34.1819816+-119.1912826","06111003700","Census Tract 37, Ventura County, California",6862,570,0.4,0,34.1819816,-119.1912826,2208,12473,12989
"41","34.1828499+-118.8055895","06111007402","Census Tract 74.02, Ventura County, California",6352,479,6.711,0,34.1828499,-118.8055895,3048,21168,NA
"42","34.1843349+-118.8320113","06111007202","Census Tract 72.02, Ventura County, California",4232,311,3.128,0,34.1843349,-118.8320113,2925,21043,11339
"43","34.1855328+-119.2015189","06111008800","Census Tract 88, Ventura County, California",5426,411,0.487,0,34.1855328,-119.2015189,2044,12236,14080
"44","34.1859635+-119.1511429","06111004716","Census Tract 47.16, Ventura County, California",4817,330,1.505,0,34.1859635,-119.1511429,2079,13120,14412
"45","34.1860972+-119.1833977","06111003801","Census Tract 38.01, Ventura County, California",5024,613,0.365,0,34.1860972,-119.1833977,2198,12546,6110
"46","34.186395+-118.9441086","06111006000","Census Tract 60, Ventura County, California",4653,368,1.283,0,34.186395,-118.9441086,2367,19161,10368
"47","34.1870831+-119.234767","06111003609","Census Tract 36.09, Ventura County, California",5909,522,1.75,0.327,34.1870831,-119.234767,1706,11549,13921
"48","34.1878048+-118.8826181","06111006900","Census Tract 69, Ventura County, California",3977,304,1.078,0,34.1878048,-118.8826181,2671,19621,9155
"49","34.1885816+-118.7204097","06111007405","Census Tract 74.05, Ventura County, California",6477,519,15.012,0,34.1885816,-118.7204097,5098,23732,NA
"50","34.1894237+-119.2146586","06111003605","Census Tract 36.05, Ventura County, California",9131,735,0.845,0,34.1894237,-119.2146586,1871,11904,13481
"51","34.1918833+-118.7764576","06111007406","Census Tract 74.06, Ventura County, California",2542,142,1.428,0,34.1918833,-118.7764576,3205,21771,NA
"52","34.1929074+-119.1669539","06111009100","Census Tract 91, Ventura County, California",4641,502,1.444,0,34.1929074,-119.1669539,2088,12849,3565
"53","34.1938291+-119.201331","06111003608","Census Tract 36.08, Ventura County, California",3897,322,0.378,0,34.1938291,-119.201331,1971,12216,6255
"54","34.1938413+-119.186116","06111008600","Census Tract 86, Ventura County, California",8006,758,0.529,0,34.1938413,-119.186116,2109,12444,3810
"55","34.1939312+-118.8516652","06111007201","Census Tract 72.01, Ventura County, California",3569,252,1.457,0,34.1939312,-118.8516652,2793,20101,8030
"56","34.1974095+-118.8650036","06111006800","Census Tract 68, Ventura County, California",3802,306,1.005,0,34.1974095,-118.8650036,2683,19743,8015
"57","34.1984586+-118.9295502","06111006100","Census Tract 61, Ventura County, California",8638,610,4.129,0,34.1984586,-118.9295502,2473,18579,10444
"58","34.1996069+-118.8823319","06111006700","Census Tract 67, Ventura County, California",3190,250,0.75,0,34.1996069,-118.8823319,2688,19514,9705
"59","34.2028076+-118.9030085","06111006200","Census Tract 62, Ventura County, California",2912,256,2.423,0,34.2028076,-118.9030085,2681,19843,12109
"60","34.202819+-119.1860277","06111008700","Census Tract 87, Ventura County, California",6292,520,0.702,0,34.202819,-119.1860277,2028,12584,3694
"61","34.2034678+-119.1729084","06111003201","Census Tract 32.01, Ventura County, California",4321,450,0.205,0,34.2034678,-119.1729084,1980,12683,3597
"62","34.2084355+-119.1342637","06111004902","Census Tract 49.02, Ventura County, California",4941,573,3.93,0,34.2084355,-119.1342637,2008,13264,13957
"63","34.2094265+-118.8063997","06111007509","Census Tract 75.09, Ventura County, California",4565,524,2.279,0,34.2094265,-118.8063997,3072,20404,NA
"64","34.2098935+-119.2319857","06111002905","Census Tract 29.05, Ventura County, California",5439,317,7.535,0.523,34.2098935,-119.2319857,1922,11883,12872
"65","34.2106411+-118.876471","06111006600","Census Tract 66, Ventura County, California",4324,265,1.048,0,34.2106411,-118.876471,2805,19286,9882
"66","34.2111369+-118.8593832","06111006500","Census Tract 65, Ventura County, California",3545,300,0.599,0,34.2111369,-118.8593832,2813,19626,9146
"67","34.2125244+-119.1527473","06111004901","Census Tract 49.01, Ventura County, California",7205,393,0.648,0,34.2125244,-119.1527473,1819,12857,13062
"68","34.2135354+-119.1858676","06111003300","Census Tract 33, Ventura County, California",8972,764,0.771,0,34.2135354,-119.1858676,1865,12297,5723
"69","34.2152006+-118.8453547","06111007508","Census Tract 75.08, Ventura County, California",3616,293,0.666,0,34.2152006,-118.8453547,2876,19842,9960
"70","34.2173083+-119.1684374","06111003100","Census Tract 31, Ventura County, California",15235,1221,1.526,0,34.2173083,-119.1684374,1855,12607,13124
"71","34.2197814+-119.0527386","06111005502","Census Tract 55.02, Ventura County, California",5267,561,0.67,0.009,34.2197814,-119.0527386,2014,15023,4984
"72","34.2200023+-118.9908818","06111005304","Census Tract 53.04, Ventura County, California",5151,325,1.26,0,34.2200023,-118.9908818,2303,16323,12203
"73","34.2216307+-118.8779656","06111006302","Census Tract 63.02, Ventura County, California",3844,324,0.612,0,34.2216307,-118.8779656,2911,19325,11857
"74","34.2219334+-119.0342542","06111005403","Census Tract 54.03, Ventura County, California",2609,266,0.291,0,34.2219334,-119.0342542,2106,15353,4280
"75","34.2233671+-119.1820294","06111003010","Census Tract 30.10, Ventura County, California",3298,307,0.302,0,34.2233671,-119.1820294,1819,12265,12801
"76","34.2234038+-118.8198058","06111007510","Census Tract 75.10, Ventura County, California",6121,439,3.419,0,34.2234038,-118.8198058,3030,20237,NA
"77","34.224257+-119.1903853","06111003011","Census Tract 30.11, Ventura County, California",5788,522,0.332,0,34.224257,-119.1903853,1752,12143,5847
"78","34.2251086+-118.8977232","06111006301","Census Tract 63.01, Ventura County, California",6349,357,3.887,0,34.2251086,-118.8977232,2862,19154,12041
"79","34.2260796+-119.2067181","06111002901","Census Tract 29.01, Ventura County, California",5931,450,1.628,0.068,34.2260796,-119.2067181,1804,11980,13167
"80","34.2262262+-119.011877","06111005303","Census Tract 53.03, Ventura County, California",9572,483,2.266,0,34.2262262,-119.011877,2215,16108,11946
"81","34.2262288+-118.7737084","06111007506","Census Tract 75.06, Ventura County, California",7369,454,8.612,0.056,34.2262288,-118.7737084,3376,21311,15026
"82","34.2269369+-118.6788342","06111007511","Census Tract 75.11, Ventura County, California",2404,170,10.215,0.001,34.2269369,-118.6788342,4607,24385,NA
"83","34.2274729+-119.0596989","06111005503","Census Tract 55.03, Ventura County, California",4244,287,0.557,0,34.2274729,-119.0596989,2068,14963,8403
"84","34.2293596+-119.0450209","06111005504","Census Tract 55.04, Ventura County, California",4345,295,0.562,0,34.2293596,-119.0450209,2141,15227,5294
"85","34.2312155+-119.187345","06111003013","Census Tract 30.13, Ventura County, California",5297,682,0.494,0,34.2312155,-119.187345,1741,12343,6349
"86","34.2327593+-118.9874839","06111005306","Census Tract 53.06, Ventura County, California",4888,206,1.009,0,34.2327593,-118.9874839,2310,16497,NA
"87","34.2329793+-119.1371738","06111005002","Census Tract 50.02, Ventura County, California",2994,318,3.147,0,34.2329793,-119.1371738,1706,13223,15476
"88","34.2331848+-119.0320318","06111005401","Census Tract 54.01, Ventura County, California",4107,270,0.617,0,34.2331848,-119.0320318,2194,15491,5171
"89","34.2334501+-119.0214631","06111005404","Census Tract 54.04, Ventura County, California",3796,217,0.621,0,34.2334501,-119.0214631,2163,15619,NA
"90","34.2334793+-118.8552008","06111006400","Census Tract 64, Ventura County, California",7327,642,3.024,0,34.2334793,-118.8552008,2820,18937,13009
"91","34.2345115+-119.0885011","06111005205","Census Tract 52.05, Ventura County, California",5895,485,4.447,0.007,34.2345115,-119.0885011,1946,14527,NA
"92","34.2349646+-119.1806526","06111003012","Census Tract 30.12, Ventura County, California",639,428,0.309,0.005,34.2349646,-119.1806526,1577,12615,12210
"93","34.2377255+-118.8089778","06111007507","Census Tract 75.07, Ventura County, California",7038,471,3.4,0.403,34.2377255,-118.8089778,3205,20001,14223
"94","34.2406625+-118.942056","06111005305","Census Tract 53.05, Ventura County, California",5677,377,19.218,0.287,34.2406625,-118.942056,2469,17193,NA
"95","34.240782+-119.1583831","06111005003","Census Tract 50.03, Ventura County, California",8220,515,1.698,0,34.240782,-119.1583831,1773,13125,14708
"96","34.2409023+-119.0425706","06111005203","Census Tract 52.03, Ventura County, California",5693,357,1.051,0,34.2409023,-119.0425706,2161,15302,NA
"97","34.241686+-119.0633835","06111005204","Census Tract 52.04, Ventura County, California",3506,242,1.488,0,34.241686,-119.0633835,2213,15015,NA
"98","34.2455983+-118.6971055","06111007512","Census Tract 75.12, Ventura County, California",5355,355,10.16,0.109,34.2455983,-118.6971055,4623,24770,NA
"99","34.2500866+-119.2467764","06111002800","Census Tract 28, Ventura County, California",6605,434,6.222,0.24,34.2500866,-119.2467764,1415,10476,9578
"100","34.2505709+-119.1656216","06111005004","Census Tract 50.04, Ventura County, California",7674,552,1.772,0.183,34.2505709,-119.1656216,1823,13218,15195
"101","34.2527888+-118.7879942","06111007513","Census Tract 75.13, Ventura County, California",1626,175,0.667,0.077,34.2527888,-118.7879942,3250,20399,11958
"102","34.254032+-119.2029687","06111001507","Census Tract 15.07, Ventura County, California",4304,339,0.709,0,34.254032,-119.2029687,1563,10761,12758
"103","34.2547582+-119.0253472","06111005202","Census Tract 52.02, Ventura County, California",2830,302,4.836,0,34.2547582,-119.0253472,2738,14035,NA
"104","34.2548328+-119.1820949","06111001402","Census Tract 14.02, Ventura County, California",5342,390,1.41,0.222,34.2548328,-119.1820949,2178,11440,14898
"105","34.2555868+-119.2692827","06111002500","Census Tract 25, Ventura County, California",4872,405,1.122,0.575,34.2555868,-119.2692827,1431,9916,NA
"106","34.2590824+-118.7657513","06111008005","Census Tract 80.05, Ventura County, California",2621,221,0.337,0,34.2590824,-118.7657513,3434,20691,11341
"107","34.2597229+-118.7804557","06111007505","Census Tract 75.05, Ventura County, California",3339,293,0.596,0.011,34.2597229,-118.7804557,3307,20437,11178
"108","34.2620831+-119.1896449","06111001506","Census Tract 15.06, Ventura County, California",5202,326,1.069,0,34.2620831,-119.1896449,1657,10868,13562
"109","34.262391+-118.7508193","06111008004","Census Tract 80.04, Ventura County, California",4929,426,0.626,0.069,34.262391,-118.7508193,3493,21008,10962
"110","34.263207+-119.2208044","06111001502","Census Tract 15.02, Ventura County, California",9069,615,1.006,0.001,34.263207,-119.2208044,1584,10208,14049
"111","34.2633677+-118.9042896","06111007607","Census Tract 76.07, Ventura County, California",6244,411,3.017,0.028,34.2633677,-118.9042896,3131,17819,NA
"112","34.2640442+-118.805701","06111007514","Census Tract 75.14, Ventura County, California",6415,371,2.508,0.001,34.2640442,-118.805701,3255,20203,11615
"113","34.2669104+-118.6580693","06111008304","Census Tract 83.04, Ventura County, California",5683,355,1.376,0.013,34.2669104,-118.6580693,3785,22820,15051
"114","34.2682522+-118.7273774","06111008002","Census Tract 80.02, Ventura County, California",5339,398,0.923,0.007,34.2682522,-118.7273774,3640,21498,10787
"115","34.268934+-119.2022525","06111001503","Census Tract 15.03, Ventura County, California",5267,422,0.799,0.001,34.268934,-119.2022525,1574,10472,13892
"116","34.2691501+-118.7701315","06111007800","Census Tract 78, Ventura County, California",4294,496,0.605,0.035,34.2691501,-118.7701315,3480,20728,11895
"117","34.2697395+-118.684829","06111008303","Census Tract 83.03, Ventura County, California",3698,374,0.387,0.012,34.2697395,-118.684829,3805,22256,6028
"118","34.2697479+-118.8749096","06111007610","Census Tract 76.10, Ventura County, California",5260,249,0.774,0.012,34.2697479,-118.8749096,3175,19177,6855
"119","34.2699733+-118.753251","06111008001","Census Tract 80.01, Ventura County, California",3529,227,0.366,0.003,34.2699733,-118.753251,3544,20965,11212
"120","34.2705998+-118.887996","06111007609","Census Tract 76.09, Ventura County, California",2720,169,0.567,0.027,34.2705998,-118.887996,3110,18153,7362
"121","34.2706551+-119.2416995","06111002700","Census Tract 27, Ventura County, California",4112,253,0.681,0,34.2706551,-119.2416995,1477,9756,5947
"122","34.2719328+-119.2248609","06111001602","Census Tract 16.02, Ventura County, California",2291,164,0.513,0,34.2719328,-119.2248609,1596,10009,14355
"123","34.2728016+-118.8452329","06111007613","Census Tract 76.13, Ventura County, California",4034,260,7.074,0.127,34.2728016,-118.8452329,2984,18900,NA
"124","34.2736288+-119.1790274","06111001401","Census Tract 14.01, Ventura County, California",4038,254,0.523,0,34.2736288,-119.1790274,1615,10866,15680
"125","34.2739342+-119.2736531","06111002600","Census Tract 26, Ventura County, California",3426,464,0.546,0,34.2739342,-119.2736531,1337,9258,4488
"126","34.2747162+-118.6739309","06111008302","Census Tract 83.02, Ventura County, California",5676,332,0.733,0.008,34.2747162,-118.6739309,3714,22471,13666
"127","34.2752843+-118.906726","06111007612","Census Tract 76.12, Ventura County, California",5127,429,1.27,0,34.2752843,-118.906726,2903,17725,NA
"128","34.2757404+-119.2061965","06111001601","Census Tract 16.01, Ventura County, California",1286,105,0.433,0,34.2757404,-119.2061965,1482,10188,14494
"129","34.2762804+-118.7043688","06111008201","Census Tract 82.01, Ventura County, California",4625,300,1.032,0.01,34.2762804,-118.7043688,3682,21896,6322
"130","34.2763658+-119.2944448","06111002400","Census Tract 24, Ventura County, California",2627,302,0.748,0.233,34.2763658,-119.2944448,1179,8964,2729
"131","34.2764924+-118.738939","06111008101","Census Tract 81.01, Ventura County, California",3308,343,0.554,0.008,34.2764924,-118.738939,3597,21337,11063
"132","34.277179+-118.752394","06111007904","Census Tract 79.04, Ventura County, California",5712,418,0.739,0.008,34.277179,-118.752394,3489,21121,10850
"133","34.2776642+-118.7274118","06111008202","Census Tract 82.02, Ventura County, California",4766,306,0.537,0.003,34.2776642,-118.7274118,3630,21706,10801
"134","34.2778958+-118.7697289","06111007901","Census Tract 79.01, Ventura County, California",5426,419,0.595,0.006,34.2778958,-118.7697289,3410,20755,11923
"135","34.2788511+-119.1565313","06111001301","Census Tract 13.01, Ventura County, California",8491,524,1.351,0.056,34.2788511,-119.1565313,1709,11388,15438
"136","34.2789365+-118.8173083","06111007700","Census Tract 77, Ventura County, California",6126,428,3.479,0.208,34.2789365,-118.8173083,3151,20581,13842
"137","34.2793634+-118.6865756","06111008306","Census Tract 83.06, Ventura County, California",3968,266,0.538,0,34.2793634,-118.6865756,3650,22293,6221
"138","34.2815484+-118.8899164","06111007611","Census Tract 76.11, Ventura County, California",4144,393,0.883,0,34.2815484,-118.8899164,2993,17909,5397
"139","34.281982+-119.1886473","06111001202","Census Tract 12.02, Ventura County, California",6607,375,1.146,0,34.281982,-119.1886473,1516,10408,8644
"140","34.2871063+-118.7065603","06111008401","Census Tract 84.01, Ventura County, California",5396,364,0.88,0.004,34.2871063,-118.7065603,3678,22105,15985
"141","34.2875307+-119.271059","06111002000","Census Tract 20, Ventura County, California",2740,253,1.349,0,34.2875307,-119.271059,1524,9152,5385
"142","34.2875506+-119.2887908","06111002102","Census Tract 21.02, Ventura County, California",1606,135,0.515,0.002,34.2875506,-119.2887908,1433,9059,3472
"143","34.290664+-119.2996145","06111002300","Census Tract 23, Ventura County, California",7447,1211,1.451,0.006,34.290664,-119.2996145,1265,8548,3016
"144","34.2943685+-119.1411116","06111001302","Census Tract 13.02, Ventura County, California",2186,247,1.243,0.113,34.2943685,-119.1411116,1720,11653,10233
"145","34.2944257+-118.660056","06111008305","Census Tract 83.05, Ventura County, California",3797,183,7.558,0,34.2944257,-118.660056,4049,23014,NA
"146","34.2948152+-119.2427572","06111001900","Census Tract 19, Ventura County, California",3939,273,4.286,0.006,34.2948152,-119.2427572,1732,9886,NA
"147","34.295528+-118.898193","06111007606","Census Tract 76.06, Ventura County, California",1644,144,5.291,0.025,34.295528,-118.898193,3126,18075,NA
"148","34.2960459+-119.2309319","06111001800","Census Tract 18, Ventura County, California",4540,325,2.584,0,34.2960459,-119.2309319,1862,10049,NA
"149","34.2971048+-118.7529842","06111007903","Census Tract 79.03, Ventura County, California",4809,298,1.485,0.012,34.2971048,-118.7529842,3588,21549,11517
"150","34.2976989+-119.0145578","06111005100","Census Tract 51, Ventura County, California",3811,431,53.669,0.075,34.2976989,-119.0145578,2576,14650,NA
"151","34.2996321+-119.2884376","06111002200","Census Tract 22, Ventura County, California",6454,393,1.179,0,34.2996321,-119.2884376,1370,8339,6215
"152","34.2996993+-119.1600923","06111001201","Census Tract 12.01, Ventura County, California",4696,294,2.564,0.001,34.2996993,-119.1600923,1670,11187,15944
"153","34.3123212+-118.7684327","06111008500","Census Tract 85, Ventura County, California",8457,489,18.597,0.015,34.3123212,-118.7684327,5309,20662,NA
"154","34.3174646+-119.2122427","06111001700","Census Tract 17, Ventura County, California",3438,251,4.974,0.008,34.3174646,-119.2122427,3046,10651,NA
"155","34.3241771+-118.8340161","06111007614","Census Tract 76.14, Ventura County, California",7714,504,32.684,0.076,34.3241771,-118.8340161,3770,19757,NA
"156","34.3324561+-118.6849004","06111008402","Census Tract 84.02, Ventura County, California",5398,252,12.432,0.038,34.3324561,-118.6849004,4112,22811,NA
"157","34.3332748+-119.0558412","06111000500","Census Tract 5, Ventura County, California",1624,217,19.596,1.077,34.3332748,-119.0558412,2252,14040,NA
"158","34.3439029+-119.371944","06111001206","Census Tract 12.06, Ventura County, California",829,219,39.238,2.818,34.3439029,-119.371944,1334,3891,NA
"159","34.3453966+-119.0772575","06111000701","Census Tract 7.01, Ventura County, California",6787,441,0.552,0,34.3453966,-119.0772575,2011,12759,9470
"160","34.3477055+-119.0857732","06111000702","Census Tract 7.02, Ventura County, California",3482,288,0.305,0,34.3477055,-119.0857732,2071,12755,9552
"161","34.3535231+-119.0606093","06111000600","Census Tract 6, Ventura County, California",6478,417,0.739,0,34.3535231,-119.0606093,1981,13175,16095
"162","34.3587261+-119.2005468","06111001204","Census Tract 12.04, Ventura County, California",2952,270,46.709,0.008,34.3587261,-119.2005468,2535,12791,NA
"163","34.3661561+-118.9484382","06111000303","Census Tract 3.03, Ventura County, California",4851,370,14.079,0.374,34.3661561,-118.9484382,2606,15394,NA
"164","34.3847022+-119.1192694","06111000800","Census Tract 8, Ventura County, California",7942,603,37.131,0.024,34.3847022,-119.1192694,3136,13960,NA
"165","34.3882911+-119.4904769","06083001704","Census Tract 17.04, Santa Barbara County, California",3135,259,2.406,0.083,34.3882911,-119.4904769,388,587,1024
"166","34.3968141+-119.5217962","06083001604","Census Tract 16.04, Santa Barbara County, California",5001,374,0.947,0.065,34.3968141,-119.5217962,176,127,529
"167","34.39838+-119.710835","06083001208","Census Tract 12.08, Santa Barbara County, California",4563,402,0.699,0.088,34.39838,-119.710835,1130,4602,6287
"168","34.4020803+-119.048904","06111000400","Census Tract 4, Ventura County, California",6954,482,15.686,0.004,34.4020803,-119.048904,3039,15033,NA
"169","34.4043811+-119.7140494","06083001203","Census Tract 12.03, Santa Barbara County, California",2878,255,0.679,0.003,34.4043811,-119.7140494,1182,5079,5994
"170","34.404599+-119.3027185","06111001101","Census Tract 11.01, Ventura County, California",4970,403,1.591,0,34.404599,-119.3027185,1825,9648,8864
"171","34.4052646+-119.5173821","06083001601","Census Tract 16.01, Santa Barbara County, California",5516,303,1.631,0,34.4052646,-119.5173821,317,386,1218
"172","34.4084121+-119.695588","06083001206","Census Tract 12.06, Santa Barbara County, California",5121,552,0.454,0.202,34.4084121,-119.695588,931,4250,4045
"173","34.4088418+-119.3376195","06111001001","Census Tract 10.01, Ventura County, California",2716,275,17.193,3.349,34.4088418,-119.3376195,1706,6393,NA
"174","34.4088728+-118.8702018","06111000302","Census Tract 3.02, Ventura County, California",7896,462,39.986,0.014,34.4088728,-118.8702018,3041,17014,NA
"175","34.4095373+-119.8783388","06083002928","Census Tract 29.28, Santa Barbara County, California",4904,676,0.488,0.016,34.4095373,-119.8783388,1885,8198,6843
"176","34.411561+-118.9627618","06111000304","Census Tract 3.04, Ventura County, California",4284,415,17.317,0.011,34.411561,-118.9627618,2564,15141,NA
"177","34.4120592+-119.7302749","06083001304","Census Tract 13.04, Santa Barbara County, California",7413,559,1.966,0.056,34.4120592,-119.7302749,1203,5044,4954
"178","34.4128391+-119.8562324","06083002924","Census Tract 29.24, Santa Barbara County, California",6455,616,0.17,0,34.4128391,-119.8562324,1769,7685,5888
"179","34.4130776+-119.8606431","06083002926","Census Tract 29.26, Santa Barbara County, California",6002,523,0.129,0,34.4130776,-119.8606431,1743,7758,6102
"180","34.4140887+-119.7460689","06083001306","Census Tract 13.06, Santa Barbara County, California",3434,319,1.594,0.041,34.4140887,-119.7460689,1507,5956,8903
"181","34.4143645+-118.7688353","06111000200","Census Tract 2, Ventura County, California",2615,265,57.268,1.592,34.4143645,-118.7688353,3111,18047,NA
"182","34.4161337+-119.7129078","06083001102","Census Tract 11.02, Santa Barbara County, California",5065,543,0.213,0,34.4161337,-119.7129078,980,4706,4073
"183","34.4169522+-119.8814677","06083002915","Census Tract 29.15, Santa Barbara County, California",525,79,0.512,0.043,34.4169522,-119.8814677,1835,8176,6739
"184","34.4174087+-119.2817135","06111001102","Census Tract 11.02, Ventura County, California",3820,317,3.144,0.017,34.4174087,-119.2817135,1969,7859,9920
"185","34.4181213+-119.7051132","06083001000","Census Tract 10, Santa Barbara County, California",5491,493,0.486,0,34.4181213,-119.7051132,961,4518,3572
"186","34.4183039+-119.6773409","06083000804","Census Tract 8.04, Santa Barbara County, California",7130,763,1.079,0.121,34.4183039,-119.6773409,845,3939,2517
"187","34.4198291+-119.8567889","06083002922","Census Tract 29.22, Santa Barbara County, California",10798,548,1.924,0.059,34.4198291,-119.8567889,1649,7770,5754
"188","34.4203889+-119.7211598","06083001101","Census Tract 11.01, Santa Barbara County, California",5344,522,0.319,0,34.4203889,-119.7211598,1043,4878,4534
"189","34.4205323+-119.1956252","06111000902","Census Tract 9.02, Ventura County, California",2048,233,20.066,0.005,34.4205323,-119.1956252,3509,12093,NA
"190","34.4222771+-119.6975296","06083000900","Census Tract 9, Santa Barbara County, California",3470,372,0.676,0,34.4222771,-119.6975296,1039,4519,3163
"191","34.4230589+-119.7755258","06083003007","Census Tract 30.07, Santa Barbara County, California",3426,387,4.621,0.237,34.4230589,-119.7755258,1390,6258,7708
